char,name
ᗆ,Syllabe canadienne ghe porteur
ᗇ,Syllabe canadienne ghé porteur
ᗈ,Syllabe canadienne ghi porteur
ᗉ,Syllabe canadienne gha porteur
ᗊ,Syllabe canadienne rou porteur
ᗋ,Syllabe canadienne ro porteur
ᗌ,Syllabe canadienne re porteur
ᗍ,Syllabe canadienne ré porteur
ᗎ,Syllabe canadienne ri porteur
ᗏ,Syllabe canadienne ra porteur
ᗐ,Syllabe canadienne ouou porteur
ᗑ,Syllabe canadienne ouo porteur
ᗒ,Syllabe canadienne oue porteur
ᗓ,Syllabe canadienne oué porteur
ᗔ,Syllabe canadienne oui porteur
ᗕ,Syllabe canadienne oua porteur
ᗖ,Syllabe canadienne houou porteur
ᗗ,Syllabe canadienne houo porteur
ᗘ,Syllabe canadienne houe porteur
ᗙ,Syllabe canadienne houé porteur
ᗚ,Syllabe canadienne houi porteur
ᗛ,Syllabe canadienne houa porteur
ᗜ,Syllabe canadienne thou porteur
ᗝ,Syllabe canadienne tho porteur
ᗞ,Syllabe canadienne the porteur
ᗟ,Syllabe canadienne thé porteur
ᗠ,Syllabe canadienne thi porteur
ᗡ,Syllabe canadienne tha porteur
ᗢ,Syllabe canadienne ttou porteur
ᗣ,Syllabe canadienne tto porteur
ᗤ,Syllabe canadienne tte porteur
ᗥ,Syllabe canadienne tté porteur
ᗦ,Syllabe canadienne tti porteur
ᗧ,Syllabe canadienne tta porteur
ᗨ,Syllabe canadienne pou porteur
ᗩ,Syllabe canadienne po porteur
ᗪ,Syllabe canadienne pe porteur
ᗫ,Syllabe canadienne pé porteur
ᗬ,Syllabe canadienne pi porteur
ᗭ,Syllabe canadienne pa porteur
ᗮ,Syllabe canadienne p porteur
ᗯ,Syllabe canadienne gou porteur
ᗰ,Syllabe canadienne go porteur
ᗱ,Syllabe canadienne ge porteur
ᗲ,Syllabe canadienne gé porteur
ᗳ,Syllabe canadienne gi porteur
ᗴ,Syllabe canadienne ga porteur
ᗵ,Syllabe canadienne khou porteur
ᗶ,Syllabe canadienne kho porteur
ᗷ,Syllabe canadienne khe porteur
ᗸ,Syllabe canadienne khé porteur
ᗹ,Syllabe canadienne khi porteur
ᗺ,Syllabe canadienne kha porteur
ᗻ,Syllabe canadienne kkou porteur
ᗼ,Syllabe canadienne kko porteur
ᗽ,Syllabe canadienne kke porteur
ᗾ,Syllabe canadienne kké porteur
ᗿ,Syllabe canadienne kki porteur
ᘀ,Syllabe canadienne kka porteur
ᘁ,Syllabe canadienne kk porteur
ᘂ,Syllabe canadienne nou porteur
ᘃ,Syllabe canadienne no porteur
ᘄ,Syllabe canadienne ne porteur
ᘅ,Syllabe canadienne né porteur
ᘆ,Syllabe canadienne ni porteur
ᘇ,Syllabe canadienne na porteur
ᘈ,Syllabe canadienne mou porteur
ᘉ,Syllabe canadienne mo porteur
ᘊ,Syllabe canadienne me porteur
ᘋ,Syllabe canadienne mé porteur
ᘌ,Syllabe canadienne mi porteur
ᘍ,Syllabe canadienne ma porteur
ᘎ,Syllabe canadienne you porteur
